lalvoterid,zip,age,gender,religion,ethnicity
LALDC641952811,20003,48,F,,European
LALDC641953920,20024,59,F,,European
LALDC641955675,20002,29,F,,European
LALDC641955709,20010,57,M,,Likely African-American
LALDC641956901,20037,53,F,,East and South Asian
LALDC641958009,20002,42,M,,Likely African-American
LALDC641959740,20018,36,F,,Likely African-American
LALDC641961526,20009,44,F,,East and South Asian
LALDC641963965,20003,57,M,,European
LALDC641966408,20010,34,F,,European
LALDC174601756,20011,96,M,Protestant,Likely African-American
LALDC174603416,20011,89,M,Protestant,Likely African-American
LALDC174606466,20009,88,F,Protestant,European
LALDC174611364,20018,80,F,,Likely African-American
LALDC174612576,20011,73,F,,Likely African-American
LALDC174612894,20017,85,F,,Likely African-American
LALDC174615075,20020,86,M,Protestant,Likely African-American
LALDC174615810,20003,77,M,,Likely African-American
LALDC174617114,20008,78,M,Catholic,European
LALDC174617869,20019,81,F,Protestant,Likely African-American
LALDC174619471,20015,94,F,Protestant,European
LALDC174619561,20020,81,F,Protestant,Likely African-American
LALDC174624985,20036,72,M,Protestant,European
LALDC174627366,20011,97,F,Protestant,Likely African-American
LALDC174627890,20032,69,M,Protestant,Likely African-American
LALDC174627975,20009,88,M,Protestant,European
LALDC174629242,20007,75,M,Protestant,European
LALDC174631767,20003,65,F,Protestant,European
LALDC174638909,20008,74,F,Protestant,European
LALDC174639119,20009,80,F,Protestant,Likely African-American
LALDC174642776,20020,85,F,Protestant,Likely African-American
LALDC174644032,20024,59,F,Protestant,Likely African-American
LALDC174644228,20003,73,M,Protestant,European
LALDC174645066,20017,72,F,Protestant,Likely African-American
LALDC174647184,20019,84,M,Protestant,Likely African-American
LALDC174647953,20017,68,M,Protestant,European
LALDC174648219,20020,56,M,,Likely African-American
LALDC174649685,20019,80,F,Protestant,Likely African-American
LALDC174650239,20011,64,F,,Likely African-American
LALDC174653792,20024,75,M,Protestant,European
LALDC174654045,20019,71,F,,Likely African-American
LALDC174656822,20007,65,F,Protestant,European
LALDC174661914,20002,55,F,Protestant,Likely African-American
LALDC174664840,20017,67,F,Protestant,Likely African-American
LALDC174665961,20011,72,M,Protestant,Likely African-American
LALDC174666732,20018,60,M,,European
LALDC174672516,20012,58,F,,Likely African-American
LALDC174673031,20020,72,F,,Likely African-American
LALDC174675329,20032,70,F,Protestant,Likely African-American
LALDC174678027,20005,78,F,,Likely African-American
LALDC174678732,20037,56,M,,European
LALDC174685206,20018,63,M,Protestant,Likely African-American
LALDC174689569,20018,64,F,,Likely African-American
LALDC174690621,20018,59,F,Protestant,Likely African-American
LALDC174695082,20008,56,M,Catholic,European
LALDC174699508,20009,49,M,Protestant,Likely African-American
LALDC174700200,20019,67,F,,Likely African-American
LALDC174704905,20017,49,F,Protestant,Likely African-American
LALDC174714896,20020,48,F,Protestant,Likely African-American
LALDC174719045,20018,55,F,,Likely African-American
LALDC174719184,20032,62,M,Protestant,Likely African-American
LALDC174724279,20009,69,F,Protestant,Likely African-American
LALDC174725484,20007,52,F,,European
LALDC174726185,20009,68,F,Protestant,European
LALDC174726279,20009,58,M,Islamic,Other
LALDC174728831,20002,59,M,Protestant,European
LALDC174732498,20011,50,F,Protestant,Likely African-American
LALDC174736462,20007,51,F,,
LALDC174743181,20008,93,F,,Likely African-American
LALDC174746267,20001,64,M,,Likely African-American
LALDC174754587,20018,66,M,Islamic,Other
LALDC174754657,20012,58,F,Protestant,Hispanic and Portuguese
LALDC174756160,20009,89,F,Protestant,European
LALDC174756323,20017,89,F,Protestant,Likely African-American
LALDC174757501,20018,42,F,,Likely African-American
LALDC174761845,20002,51,F,Catholic,European
LALDC174765061,20011,60,M,Protestant,
LALDC174765066,20015,56,F,Eastern Orthodox,Other
LALDC174765598,20009,68,F,Jewish,European
LALDC174772506,20007,49,F,Islamic,Other
LALDC174774363,20011,63,F,,Likely African-American
LALDC174775181,20012,87,F,Protestant,Likely African-American
LALDC174777945,20008,56,M,Protestant,European
LALDC174779468,20015,51,F,Catholic,European
LALDC174785449,20003,52,F,Protestant,European
LALDC174791666,20015,38,M,,European
LALDC174793916,20018,46,M,,Likely African-American
LALDC174797087,20018,67,M,Protestant,Likely African-American
LALDC174800205,20017,54,F,Protestant,Likely African-American
LALDC174802331,20011,49,M,,European
LALDC174804486,20009,66,,,Hispanic and Portuguese
LALDC174806305,20008,51,F,Jewish,
LALDC174808334,20008,42,F,,
LALDC174811395,20011,28,F,Protestant,European
LALDC174813526,20002,44,F,,European
LALDC174817978,20001,53,F,,Likely African-American
LALDC174818590,20012,62,F,,Likely African-American
LALDC174818833,20011,45,M,Catholic,Hispanic and Portuguese
LALDC174819230,20011,42,M,Catholic,Hispanic and Portuguese
LALDC174822005,20015,49,M,Protestant,European
LALDC174824832,20016,72,M,,European
LALDC174825339,20011,62,M,Protestant,Likely African-American
LALDC174826154,20020,39,F,,Likely African-American
LALDC174829347,20032,42,M,,Other
LALDC174829887,20002,57,F,,European
LALDC174833876,20011,59,F,Protestant,Likely African-American
LALDC174838143,20011,36,M,Protestant,European
LALDC174838504,20010,39,,,Likely African-American
LALDC174841918,20010,81,M,,Hispanic and Portuguese
LALDC174843468,20020,38,F,Protestant,Likely African-American
LALDC174849777,20002,59,,,Likely African-American
LALDC174850570,20011,54,F,,Likely African-American
LALDC174853180,20011,68,M,Catholic,Hispanic and Portuguese
LALDC174853723,20032,36,F,,Likely African-American
LALDC174853748,20008,77,F,Catholic,European
LALDC174859730,20020,47,M,,Likely African-American
LALDC174865278,20009,50,F,,European
LALDC174866573,20018,35,F,Protestant,Likely African-American
LALDC174872663,20011,47,F,Protestant,European
LALDC174872894,20012,62,M,Catholic,European
LALDC174873059,20018,49,M,Protestant,Likely African-American
LALDC174882258,20001,48,M,,European
LALDC174891739,20019,92,F,Protestant,Likely African-American
LALDC174893425,20008,38,F,Protestant,European
LALDC174893822,20002,41,M,,European
LALDC174894649,20009,37,F,,East and South Asian
LALDC174895682,20010,62,M,,Likely African-American
LALDC174897842,20011,44,M,,European
LALDC174905652,20032,35,F,,East and South Asian
LALDC174906321,20019,34,M,,Likely African-American
LALDC174911350,20002,42,M,,Likely African-American
LALDC174911383,20019,33,F,,Likely African-American
LALDC174916578,20011,35,F,,Likely African-American
LALDC174917048,20016,44,F,Protestant,European
LALDC174919308,20009,43,F,,
LALDC174922379,20001,35,F,Jewish,European
LALDC174922820,20019,33,F,,Likely African-American
LALDC174927109,20019,70,M,Protestant,Likely African-American
LALDC174929208,20012,62,F,,Likely African-American
LALDC174932571,20018,40,M,,Likely African-American
LALDC174943211,20009,50,F,,
LALDC174953075,20032,56,M,,European
LALDC174962090,20020,34,F,,Likely African-American
LALDC174964066,20008,49,F,Jewish,
LALDC174964204,20020,45,F,Protestant,Likely African-American
LALDC174964323,20002,38,F,,European
LALDC174965930,20011,32,F,Protestant,Likely African-American
LALDC174967935,20037,60,M,,European
LALDC174969791,20020,44,M,,Likely African-American
LALDC174970554,20007,41,M,,East and South Asian
LALDC174980546,20016,72,M,,European
LALDC174988898,20002,55,M,,East and South Asian
LALDC174991354,20020,29,F,,Likely African-American
LALDC174991458,20032,52,F,,Likely African-American
LALDC174996760,20020,34,M,,Likely African-American
LALDC174997257,20011,59,F,,Likely African-American
LALDC175001827,20019,37,F,,Likely African-American
LALDC175014270,20037,48,F,,Hispanic and Portuguese
LALDC175014892,20024,37,M,,European
LALDC175020332,20017,36,F,,Likely African-American
LALDC175026247,20019,32,F,Protestant,Likely African-American
LALDC175029828,20017,39,M,Jewish,
LALDC175030048,20003,35,F,,European
LALDC175033486,20016,52,M,,European
LALDC175038826,20002,76,F,Protestant,Likely African-American
LALDC175048238,20010,36,F,,European
LALDC175048559,20010,42,M,,Hispanic and Portuguese
LALDC175048688,20017,43,M,Jewish,
LALDC175049545,20032,58,M,,Likely African-American
LALDC175056864,20003,45,M,,Likely African-American
LALDC175057568,20008,42,,,Other
LALDC175060343,20003,50,F,,European
LALDC175062224,20002,30,M,,Likely African-American
LALDC175065247,20003,47,M,,Likely African-American
LALDC409300987,20002,62,F,,Likely African-American
LALDC409301113,20019,39,F,,Likely African-American
LALDC409302914,20008,61,M,,European
LALDC409303851,20032,30,M,,Likely African-American
LALDC409305101,20020,27,F,,Likely African-American
LALDC409305219,20019,50,F,,Likely African-American
LALDC409317297,20011,30,F,,Likely African-American
LALDC409326526,20015,53,F,Catholic,European
LALDC409326834,20001,56,F,,Hispanic and Portuguese
LALDC409326851,20007,37,F,,East and South Asian
LALDC409329180,20010,34,F,Jewish,
LALDC409329350,20008,40,F,,European
LALDC409336729,20002,56,F,,European
LALDC409337761,20007,34,M,,European
LALDC409338067,20007,53,M,,
LALDC409346566,20036,56,M,Islamic,Other
LALDC409349022,20009,50,F,,Likely African-American
LALDC430631990,20009,26,M,,European
LALDC430634648,20011,39,M,,Likely African-American
LALDC440794822,20011,85,F,,Likely African-American
LALDC440801261,20008,64,F,,European
LALDC440801295,20008,30,F,,Hispanic and Portuguese
LALDC440802545,20009,47,M,,European
LALDC455576157,20002,48,M,,Likely African-American
LALDC455577173,20003,39,M,,European
LALDC455587337,20007,73,F,Catholic,European
LALDC455587725,20001,41,F,,East and South Asian
LALDC455588555,20011,42,M,Protestant,Likely African-American
LALDC455589427,20003,64,M,Catholic,European
LALDC471475738,20002,56,M,,European
LALDC475451980,20001,35,M,,European
LALDC475455784,20009,35,M,,Hispanic and Portuguese
LALDC475456762,20020,65,M,,Likely African-American
LALDC486512670,20032,48,F,,Likely African-American
LALDC486513712,20002,59,M,,Likely African-American
LALDC486516514,20019,25,F,,Likely African-American
LALDC486521696,20010,36,F,,European
LALDC486529102,20018,38,M,,Likely African-American
LALDC486531390,20024,41,M,,European
LALDC505984142,20011,38,F,,Likely African-American
LALDC505984606,20001,59,F,,European
LALDC505988231,20024,57,F,,Likely African-American
LALDC505988354,20010,30,M,,European
LALDC505991834,20019,68,F,,Hispanic and Portuguese
LALDC505993087,20017,42,M,,
LALDC506005169,20002,68,F,,Likely African-American
LALDC506007456,20010,34,F,,Hispanic and Portuguese
LALDC506017230,20008,44,F,,European
LALDC506018605,20059,23,F,,Likely African-American
LALDC506019038,20019,46,F,,Likely African-American
LALDC506022040,20008,35,M,,
LALDC506024064,20009,51,F,,European
LALDC506024495,20032,41,M,,Likely African-American
LALDC506029138,20016,40,M,,European
LALDC519092032,20020,67,F,,Likely African-American
LALDC519095303,20012,58,M,Jewish,
LALDC537039858,20019,72,F,,Likely African-American
LALDC537042439,20016,68,F,,Likely African-American
LALDC537043779,20008,38,M,,European
LALDC537044031,20001,37,M,,Likely African-American
LALDC537046232,20002,37,M,,European
LALDC537047450,20017,80,F,Protestant,European
LALDC537053230,20001,23,F,,Likely African-American
LALDC537055601,20018,52,M,,Hispanic and Portuguese
LALDC537056287,20002,60,M,Protestant,Likely African-American
LALDC537056678,20019,45,F,,Likely African-American
LALDC548081272,20032,27,M,,Likely African-American
LALDC548081340,20001,66,M,,European
LALDC548082741,20005,60,F,,European
LALDC548085424,20019,23,F,,Likely African-American
LALDC548089841,20020,23,F,,Likely African-American
LALDC548094217,20017,50,F,,European
LALDC548094340,20010,64,F,,European
LALDC548094691,20001,47,F,,Other
LALDC548098381,20032,30,M,,Likely African-American
LALDC548098974,20009,59,F,,European
LALDC548100826,20037,31,F,,
LALDC551182904,20019,50,M,,
LALDC551183709,20020,48,F,,European
LALDC551184330,20020,63,M,,Likely African-American
LALDC551187402,20002,33,M,,European
LALDC551191013,20003,48,M,,European
LALDC551192201,20002,32,M,Jewish,European
LALDC551196756,20001,31,M,Jewish,
LALDC551198972,20019,70,M,,Likely African-American
LALDC551199513,20010,28,M,,European
LALDC551206567,20024,45,F,,Likely African-American
LALDC563345918,20001,65,F,,Likely African-American
LALDC563347334,20010,45,F,,Hispanic and Portuguese
LALDC563347385,20032,44,F,,Likely African-American
LALDC563348298,20008,21,M,,European
LALDC563349209,20011,29,M,,European
LALDC563351106,20017,55,F,,Likely African-American
LALDC563353416,20010,21,M,,Hispanic and Portuguese
LALDC563356320,20019,39,M,,Likely African-American
LALDC563358248,20001,30,F,,Other
LALDC582460225,20020,36,F,,Likely African-American
LALDC582460547,20016,52,M,,European
LALDC582468789,20009,42,F,,Hispanic and Portuguese
LALDC582473831,20009,50,F,,European
LALDC582475768,20001,28,F,,European
LALDC582481178,20010,28,F,,East and South Asian
LALDC582483794,20032,25,F,,Likely African-American
LALDC582483951,20009,49,M,,Hispanic and Portuguese
LALDC593245574,20008,23,F,,East and South Asian
LALDC593245613,20018,34,M,,Hispanic and Portuguese
LALDC593246649,20019,24,F,,Likely African-American
LALDC593247696,20019,31,F,,Likely African-American
LALDC593248832,20002,23,F,,Likely African-American
LALDC593250395,20009,29,F,,European
LALDC593251459,20020,63,M,,Likely African-American
LALDC593255336,20024,43,M,,Likely African-American
LALDC174600669,20010,97,F,Protestant,Likely African-American
LALDC174605849,20016,75,M,Protestant,European
LALDC174608671,20017,85,F,Protestant,Likely African-American
LALDC174610904,20007,83,M,Jewish,
LALDC174615622,20008,79,M,Protestant,European
LALDC174616114,20003,98,F,Protestant,European
LALDC174618568,20008,83,F,Protestant,Likely African-American
LALDC174619061,20009,97,F,Protestant,Likely African-American
LALDC174619304,20010,76,M,Jewish,European
LALDC174621462,20020,66,F,,Likely African-American
LALDC174623044,20008,60,M,,European
LALDC174632008,20024,70,F,,Likely African-American
LALDC174635052,20011,65,F,Protestant,Likely African-American
LALDC174635568,20001,67,F,Protestant,European
LALDC174635868,20011,64,F,Protestant,Likely African-American
LALDC174639547,20011,95,M,Protestant,Likely African-American
LALDC174642611,20002,67,M,Protestant,Likely African-American
LALDC174643351,20010,67,F,Protestant,European
LALDC174644093,20011,71,F,Protestant,Likely African-American
LALDC174645422,20011,46,M,,Likely African-American
LALDC174647283,20020,64,F,Protestant,Likely African-American
LALDC174647519,20019,72,M,Jewish,European
LALDC174649954,20017,63,F,Protestant,Likely African-American
LALDC174655897,20002,66,M,,Likely African-American
LALDC174659847,20011,70,F,Protestant,Likely African-American
LALDC174661533,20011,62,F,,Likely African-American
LALDC174664317,20032,72,M,Protestant,Likely African-American
LALDC174668155,20003,75,M,Protestant,European
LALDC174669054,20016,67,M,Protestant,European
LALDC174670003,20011,46,,,Likely African-American
LALDC174672177,20011,52,F,Protestant,European
LALDC174674418,20017,94,M,,Likely African-American
LALDC174678920,20036,73,F,Jewish,
LALDC174681076,20002,87,M,,Likely African-American
LALDC174681403,20012,69,F,,Likely African-American
LALDC174685766,20020,66,F,Protestant,Likely African-American
LALDC174685864,20011,56,F,Protestant,Likely African-American
LALDC174691389,20018,88,M,Protestant,Likely African-American
LALDC174691708,20011,54,F,,Likely African-American
LALDC174694683,20011,70,M,Catholic,Hispanic and Portuguese
LALDC174695222,20019,57,M,,Likely African-American
LALDC174695426,20018,69,F,,Likely African-American
LALDC174697202,20032,78,F,Protestant,Likely African-American
LALDC174699276,20019,52,F,,Likely African-American
LALDC174702234,20011,59,F,Jewish,
LALDC174706515,20011,82,F,,Likely African-American
LALDC174708899,20011,58,F,Protestant,Likely African-American
LALDC174710388,20036,56,F,Jewish,European
LALDC174711520,20020,63,F,,Likely African-American
LALDC174712713,20012,39,F,,Likely African-American
LALDC174713105,20010,56,F,,Hispanic and Portuguese
LALDC174714384,20015,68,M,Jewish,European
LALDC174715955,20011,67,F,Protestant,Likely African-American
LALDC174716580,20032,89,F,Protestant,Likely African-American
LALDC174718830,20015,70,F,Protestant,European
LALDC174722334,20002,83,M,Protestant,European
LALDC174725106,20015,85,F,Protestant,European
LALDC174726523,20032,51,F,Protestant,Likely African-American
LALDC174729082,20019,61,F,Protestant,Likely African-American
LALDC174729343,20015,61,M,Protestant,European
LALDC174731923,20002,73,M,Protestant,Likely African-American
LALDC174732039,20019,66,M,Protestant,Likely African-American
LALDC174741162,20016,62,M,Protestant,European
LALDC174743607,20032,69,F,Protestant,Likely African-American
LALDC174744707,20005,58,M,,European
LALDC174747553,20002,69,M,Protestant,Likely African-American
LALDC174750395,20011,45,M,Protestant,European
LALDC174755473,20020,54,M,,Likely African-American
LALDC174757255,20016,75,F,,European
LALDC174758675,20001,52,F,Protestant,Likely African-American
LALDC174767139,20017,53,F,,Likely African-American
LALDC174773273,20005,41,F,Protestant,Likely African-American
LALDC174776214,20012,51,F,Protestant,Likely African-American
LALDC174780447,20009,49,F,Protestant,European
LALDC174780973,20011,55,F,Catholic,Hispanic and Portuguese
LALDC174781608,20020,56,M,,Likely African-American
LALDC174783325,20011,41,M,Protestant,Likely African-American
LALDC174784316,20018,51,F,Jewish,
LALDC174786808,20016,53,M,Protestant,European
LALDC174786984,20020,43,F,Protestant,Likely African-American
LALDC174794302,20011,70,M,Protestant,Likely African-American
LALDC174794547,20018,70,,,Likely African-American
LALDC174796661,20007,74,F,Eastern Orthodox,Other
LALDC174797192,20032,51,M,,Likely African-American
LALDC174797568,20012,41,F,Protestant,European
LALDC174798761,20020,44,F,,Likely African-American
LALDC174800741,20001,64,M,,Likely African-American
LALDC596416681,20011,52,F,,East and South Asian
LALDC596422497,20001,27,F,,Likely African-American
LALDC611046009,20019,58,F,Protestant,Likely African-American
LALDC611048329,20001,59,M,,
LALDC611049687,20003,60,F,,European
LALDC611051166,20002,49,F,,East and South Asian
LALDC611052559,20009,46,M,,East and South Asian
LALDC611052721,20005,62,M,,
LALDC611053962,20009,50,,,East and South Asian
LALDC611055767,20003,53,M,,European
LALDC611059418,20024,50,M,,European
LALDC611060183,20008,59,F,,European
LALDC611061119,20003,41,F,,European
LALDC611069156,20010,44,M,,Likely African-American
LALDC611070036,20019,52,M,,Likely African-American
LALDC611070232,20017,64,M,,Likely African-American
LALDC611071310,20011,61,M,,European
LALDC611071396,20052,49,M,,European
LALDC611071789,20011,54,M,,Likely African-American
LALDC611073628,20019,45,F,,Likely African-American
LALDC611075519,20037,63,M,,European
LALDC611076062,20002,42,M,,Likely African-American
LALDC611077111,20003,29,M,,European
LALDC611078204,20015,34,M,,European
LALDC630227773,20019,30,F,,Likely African-American
LALDC630227826,20020,30,M,,Likely African-American
LALDC630228173,20001,22,M,,Likely African-American
LALDC630228460,20016,27,M,,East and South Asian
LALDC630228984,20020,23,F,,Likely African-American
LALDC630229507,20009,33,F,,European
LALDC630231278,20003,39,M,,European
LALDC630233530,20003,64,M,,Other
LALDC630233543,20002,43,M,,Other
LALDC630234844,20002,48,M,,Hispanic and Portuguese
LALDC630236014,20007,32,F,,European
LALDC630236872,20009,38,F,Jewish,
LALDC630237668,20001,27,F,,
LALDC630238350,20001,28,F,,European
LALDC630240873,20003,35,F,,
LALDC630241816,20001,36,F,,East and South Asian
LALDC641952357,20011,76,M,,Likely African-American
LALDC641954478,20003,34,M,,European
LALDC641954537,20007,49,F,Jewish,European
LALDC641955158,20008,61,F,,European
LALDC641957401,20016,22,M,,European
LALDC641960522,20009,23,F,,
LALDC641962126,20002,60,M,,European
LALDC641962892,20002,30,M,,Hispanic and Portuguese
LALDC641964040,20003,27,F,,European
LALDC641965774,20019,28,M,,Likely African-American
LALDC174801007,20018,40,F,Catholic,European
LALDC174811522,20003,41,F,Protestant,Likely African-American
LALDC174811657,20016,64,F,Catholic,European
LALDC174813077,20001,82,,,East and South Asian
LALDC174813112,20002,54,F,Protestant,Likely African-American
LALDC174813342,20020,51,F,Protestant,Likely African-American
LALDC174826255,20003,79,F,Protestant,European
LALDC174829487,20011,36,,,Likely African-American
LALDC174834356,20009,38,M,,European
LALDC174838529,20032,57,F,,Likely African-American
LALDC174842736,20016,77,M,Jewish,
LALDC174848229,20016,50,F,,
LALDC174853484,20001,56,M,Protestant,European
LALDC174854092,20002,67,F,,European
LALDC174854933,20015,53,F,Protestant,European
LALDC174855119,20020,36,M,,Likely African-American
LALDC174856132,20002,40,F,Jewish,
LALDC174860658,20011,79,M,,Likely African-American
LALDC174865557,20019,54,F,,Likely African-American
LALDC174868465,20003,41,M,Catholic,European
LALDC174872885,20007,29,,,East and South Asian
LALDC174874076,20032,48,F,,Likely African-American
LALDC174875783,20016,39,M,Protestant,European
LALDC174876927,20032,57,F,,Likely African-American
LALDC174877350,20016,54,F,,European
LALDC174877743,20019,35,F,Protestant,Likely African-American
LALDC174878131,20032,79,F,,Likely African-American
LALDC174879095,20020,89,M,Protestant,Likely African-American
LALDC174881308,20011,34,F,,Likely African-American
LALDC174888964,20011,36,M,Protestant,European
LALDC174889269,20015,78,M,Jewish,
LALDC174889526,20009,44,M,Eastern Orthodox,Other
LALDC174893870,20010,50,M,,Hispanic and Portuguese
LALDC174894980,20009,67,F,Protestant,European
LALDC174902343,20001,48,M,,Likely African-American
LALDC174902551,20019,37,M,,Likely African-American
LALDC174904565,20018,31,F,,Likely African-American
LALDC174909239,20036,42,F,Buddhist,East and South Asian
LALDC174927647,20001,64,F,,East and South Asian
LALDC174929990,20020,34,F,,Likely African-American
LALDC174938867,20018,27,F,Catholic,Hispanic and Portuguese
LALDC174944152,20001,42,F,,European
LALDC174955540,20002,32,F,,Likely African-American
LALDC174957025,20020,62,F,,Likely African-American
LALDC174983261,20008,58,F,Hindu,East and South Asian
LALDC174985591,20020,31,F,,Likely African-American
LALDC174988519,20007,35,M,,European
LALDC174991081,20019,33,F,,Hispanic and Portuguese
LALDC174991282,20002,49,F,,Likely African-American
LALDC174992283,20011,59,M,,Other
LALDC174994196,20024,53,M,,
LALDC174994617,20019,31,F,,Likely African-American
LALDC174999313,20012,34,M,Jewish,
LALDC175018087,20003,59,F,,European
LALDC175018801,20019,49,M,,Hispanic and Portuguese
LALDC175024275,20016,61,M,Catholic,Hispanic and Portuguese
LALDC175029593,20002,45,F,,Likely African-American
LALDC175031556,20002,66,M,,Likely African-American
LALDC175034706,20003,80,M,Protestant,European
LALDC175041919,20002,28,M,,European
LALDC175050814,20032,59,,,East and South Asian
LALDC175056533,20009,31,M,,European
LALDC175059448,20020,31,M,,Likely African-American
LALDC175061078,20003,28,M,,Likely African-American
LALDC175065312,20019,53,M,,Likely African-American
LALDC175066512,20009,52,M,,Likely African-American
LALDC175066532,20018,40,M,,Likely African-American
LALDC409298509,20009,59,M,Protestant,European
LALDC409299270,20020,31,F,,Likely African-American
LALDC409300029,20032,49,F,,Likely African-American
LALDC409302043,20032,34,M,,Likely African-American
LALDC409303394,20018,29,M,,Likely African-American
LALDC409304274,20011,32,F,,European
LALDC409304829,20018,32,F,,Likely African-American
LALDC409306840,20020,28,M,,Likely African-American
LALDC409309292,20010,27,M,,Likely African-American
LALDC409313017,20015,62,M,Protestant,European
LALDC409314580,20011,48,M,,Likely African-American
LALDC409318760,20007,46,M,,European
LALDC409320617,20002,40,F,,Likely African-American
LALDC409322619,20032,74,F,,Likely African-American
LALDC409325100,20019,29,,,Likely African-American
LALDC409327559,20007,39,F,,European
LALDC409328719,20002,33,M,,Likely African-American
LALDC409330443,20011,72,M,,Likely African-American
LALDC409333481,20015,78,F,,Likely African-American
LALDC409338442,20016,42,F,Jewish,
LALDC409341408,20020,27,F,,Likely African-American
LALDC409342899,20020,32,F,,Likely African-American
LALDC409345737,20001,32,M,,European
LALDC430631827,20016,67,F,Jewish,
LALDC430633533,20032,31,F,,Likely African-American
LALDC440796452,20010,33,M,,Likely African-American
LALDC440798443,20005,46,F,,Hispanic and Portuguese
LALDC440798453,20001,33,F,Jewish,
LALDC440799283,20001,32,F,,European
LALDC440802668,20001,39,F,,European
LALDC440802779,20001,63,F,,European
LALDC455561168,20011,36,M,,Likely African-American
LALDC455561754,20017,38,M,,
LALDC455568183,20018,35,M,,Likely African-American
LALDC455585212,20011,45,F,,Likely African-American
LALDC455586850,20011,69,F,,Likely African-American
LALDC471467337,20003,61,F,,European
LALDC471470455,20001,56,M,,European
LALDC471472984,20010,31,M,,East and South Asian
LALDC471478043,20002,52,M,Jewish,
LALDC475449428,20008,33,M,,Hispanic and Portuguese
LALDC475451046,20011,27,M,,European
LALDC475453005,20008,54,F,,Hispanic and Portuguese
LALDC475454419,20002,62,M,,Likely African-American
LALDC475455734,20011,32,M,,Likely African-American
LALDC475459924,20010,89,M,,Hispanic and Portuguese
LALDC475460875,20002,44,F,,Likely African-American
LALDC486514592,20002,33,F,,European
LALDC486514910,20032,30,F,,Likely African-American
LALDC486515491,20032,33,M,,Likely African-American
LALDC486521056,20008,68,M,,European
LALDC486526371,20020,37,M,,Likely African-American
LALDC486528103,20017,45,,Shinto,Likely African-American
LALDC486528492,20017,55,F,,Likely African-American
LALDC486528947,20002,39,F,,Likely African-American
LALDC505990814,20002,61,F,,European
LALDC505990876,20008,35,M,,European
LALDC505995200,20032,74,F,,European
LALDC505997830,20017,65,F,Protestant,Likely African-American
LALDC506000767,20002,27,M,,Likely African-American
LALDC506003831,20032,29,F,,Likely African-American
LALDC506006703,20015,85,F,Protestant,European
LALDC506007999,20009,27,M,,European
LALDC506008349,20007,64,F,Jewish,European
LALDC506008537,20018,38,F,,Likely African-American
LALDC506008911,20007,50,F,,Hispanic and Portuguese
LALDC506010200,20018,25,F,,Likely African-American
LALDC506010682,20011,53,F,,Likely African-American
LALDC506011384,20016,27,F,,Other
LALDC506012095,20012,60,F,,European
LALDC506013549,20003,34,F,,East and South Asian
LALDC506015419,20001,46,F,,Other
LALDC506021605,20018,55,F,,Hispanic and Portuguese
LALDC506022405,20002,60,M,,Other
LALDC506024930,20019,25,M,,Likely African-American
LALDC506030392,20020,43,M,,Likely African-American
LALDC519086816,20003,38,F,,European
LALDC519088710,20016,51,F,,Other
LALDC519093829,20002,35,M,,Likely African-American
LALDC537039929,20018,45,F,,Likely African-American
LALDC537040412,20010,28,M,,European
LALDC537040609,20009,42,F,,European
LALDC537045709,20009,30,F,,European
LALDC537047084,20020,40,M,,Likely African-American
LALDC537047905,20003,33,M,,Hispanic and Portuguese
LALDC537049981,20003,53,M,,European
LALDC537052153,20020,46,M,,Likely African-American
LALDC537052588,20018,26,F,,Other
LALDC548080540,20011,27,F,,Hispanic and Portuguese
LALDC548082712,20001,40,M,,European
LALDC548083667,20001,22,,,East and South Asian
LALDC548084898,20002,29,M,,Likely African-American
LALDC548087624,20007,38,F,,European
LALDC548089178,20003,23,F,,European
LALDC548091817,20019,28,F,,Likely African-American
LALDC548093070,20002,57,M,,Likely African-American
LALDC548097016,20011,82,F,,Likely African-American
LALDC551182608,20032,50,F,,Likely African-American
LALDC551187714,20009,34,F,,
LALDC551189473,20018,36,F,,Hispanic and Portuguese
LALDC551192501,20011,51,M,,Likely African-American
LALDC551193006,20010,26,F,,Likely African-American
LALDC551202510,20018,36,F,Jewish,European
LALDC551205883,20008,48,F,,European
LALDC551209560,20005,46,F,,
LALDC551209648,20018,62,F,,Likely African-American
LALDC551210563,20010,30,F,,Hispanic and Portuguese
LALDC563347291,20019,53,F,,Likely African-American
LALDC563348284,20024,21,M,,Likely African-American
LALDC563351091,20018,27,F,,
LALDC582457223,20024,62,F,,Likely African-American
LALDC582462854,20007,39,F,,European
LALDC582464372,20008,42,F,,European
LALDC582466821,20032,38,F,,Likely African-American
LALDC582468583,20011,68,M,,East and South Asian
LALDC582469418,20009,34,M,,Other
LALDC582469560,20008,41,F,,Likely African-American
LALDC582471123,20002,31,F,,Other
LALDC582472517,20011,33,M,,Likely African-American
LALDC582473345,20017,48,M,,European
LALDC582474737,20020,23,F,,Likely African-American
LALDC582477214,20002,25,F,,
LALDC582477814,20002,28,M,,European
LALDC582479617,20020,32,F,,Likely African-American
LALDC582479841,20002,37,M,,European
LALDC582481883,20002,58,F,Jewish,European
LALDC582482291,20009,35,M,,
LALDC582482453,20024,35,M,,European
LALDC582483638,20032,33,M,,Likely African-American
LALDC582484408,20003,42,F,,European
LALDC593246178,20019,41,F,,Likely African-American
LALDC593248239,20019,45,F,Protestant,Likely African-American
